Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
-1.813928,2.372716,11.142529,-0.149695,0.781065,2.779296,22.768909,-6.667043,-40.441677,-8.387584,-17.738076,6.131517,Walking
-2.563719,0.701292,14.179264,-0.604075,0.305249,2.97252,22.557007,-8.940703,-40.104847,-17.164181,-17.151669,4.577759,Walking
-2.011218,0.092059,10.086625,0.064011,-0.197025,3.136309,20.824001,-11.779914,-40.460094,-26.276507,-17.31642,1.43423,Walking
-1.104254,1.624272,8.994795,0.664401,0.169309,4.032491,17.545151,-17.434387,-39.890697,-37.930157,-19.153536,-1.924668,Walking
-1.472039,2.296075,9.643696,0.516851,-0.426523,3.537678,13.643353,-21.140541,-39.930401,-48.709278,-19.851058,-6.549756,Walking
-2.006577,2.189347,10.101145,0.400402,0.018731,2.812451,10.480835,-23.68446,-39.267254,-57.315469,-19.876021,-9.627609,Walking
-2.561024,2.08696,8.901689,0.509685,0.539623,2.38818,8.450397,-25.654213,-38.563778,-64.611982,-20.005725,-10.726204,Walking
-3.17864,2.790946,7.625892,0.764922,1.075848,2.227868,7.120739,-27.606682,-37.278774,-71.456507,-20.843046,-10.284593,Walking
-3.411705,2.541116,9.153016,0.206634,1.382719,1.802284,6.990425,-28.871681,-36.216694,-76.943268,-20.770239,-8.355538,Walking
-3.351381,1.861529,11.799513,-0.22052,1.34297,1.605835,6.778046,-28.984406,-36.242649,-81.538038,-19.668164,-6.1492,Walking
-2.726281,0.695454,13.308824,-0.372758,1.182641,1.531495,6.650486,-28.768024,-36.26405,-85.872847,-18.290815,-4.103626,Walking
-1.060694,0.402663,11.718681,-0.003832,1.215792,1.996393,6.076637,-29.31414,-36.088734,-91.477878,-17.79337,-2.389776,Walking
-0.535886,0.569715,10.554552,-0.009832,1.673596,2.20285,5.44482,-30.09573,-35.598186,-97.922514,-17.677009,0.198257,Walking
-0.144749,0.855471,9.051827,-0.092307,1.311319,2.224471,4.127453,-30.121216,-35.418209,-104.516436,-17.557345,2.182138,Walking
0.392184,1.941163,8.008646,0.190666,1.065015,2.3292,2.342216,-30.556778,-35.270855,-111.386949,-18.311249,3.187589,Walking
0.137714,2.567012,9.069191,-0.19857,0.934167,1.887751,0.931671,-30.444092,-35.408863,-117.262983,-18.23354,4.083115,Walking
-0.058528,2.97177,9.913585,-0.323603,0.720852,1.517225,-0.559467,-29.924023,-35.73595,-122.048903,-17.665597,4.713049,Walking
